"timestamp","system_time","lat","lon","speed","bearing","provider"
"1525377869000","1525377868541","42.97264843","-78.77560339","6.25","136.3","gps"
"1525377870000","1525377869541","42.97261354","-78.7755628","5.0","137.0","gps"
"1525377871000","1525377870540","42.97258056","-78.7755209","5.0","137.0","gps"
"1525377872000","1525377871538","42.97255311","-78.77549135","4.0","136.5","gps"
"1525377873000","1525377872546","42.9725294","-78.77545283","4.0","137.6","gps"
"1525377874000","1525377873540","42.97249892","-78.77543302","4.0","137.0","gps"
"1525377875000","1525377874546","42.97247145","-78.7753946","3.75","135.3","gps"
"1525377876000","1525377875540","42.97244795","-78.77536444","3.0","136.6","gps"
"1525377877000","1525377876539","42.97242851","-78.77534013","2.5","136.0","gps"
"1525377878000","1525377877540","42.97241109","-78.77532293","2.5","139.0","gps"
"1525377879000","1525377878539","42.97239814","-78.77530614","1.75","136.0","gps"
"1525377880000","1525377879542","42.97238141","-78.77529161","2.0","137.0","gps"
"1525377881000","1525377880540","42.97236847","-78.77527519","2.0","137.0","gps"
"1525377882000","1525377881541","42.97235362","-78.775258","1.75","135.0","gps"
"1525377883000","1525377882538","42.97234145","-78.77524015","1.75","136.1","gps"
"1525377884000","1525377883540","42.97232917","-78.77522398","1.75","136.4","gps"
"1525377885000","1525377884540","42.97231657","-78.77520872","1.75","136.6","gps"
"1525377886000","1525377885539","42.97230434","-78.77519409","1.75","136.3","gps"
"1525377887000","1525377886541","42.97229248","-78.77517969","1.75","135.8","gps"
"1525377888000","1525377887540","42.97228142","-78.77516782","1.75","136.6","gps"
"1525377889000","1525377888540","42.97227059","-78.77515422","1.75","137.2","gps"
"1525377890000","1525377889540","42.97225898","-78.77514206","1.75","136.5","gps"
"1525377891000","1525377890538","42.97224759","-78.77512969","1.75","135.7","gps"
"1525377892000","1525377891539","42.97223735","-78.77511572","1.75","135.6","gps"
"1525377893000","1525377892540","42.97222678","-78.77510339","1.75","136.5","gps"
"1525377894000","1525377893541","42.97221488","-78.77508958","1.75","136.6","gps"
"1525377895000","1525377894540","42.97220139","-78.77507428","1.75","134.1","gps"
"1525377896000","1525377895539","42.97219026","-78.77505866","1.75","134.1","gps"
"1525377897000","1525377896542","42.9721739","-78.77504116","2.0","136.4","gps"
"1525377898000","1525377897538","42.97216175","-78.77502538","2.0","136.4","gps"
"1525377899000","1525377898539","42.97214303","-78.77500438","2.0","137.8","gps"
"1525377900000","1525377899542","42.97212385","-78.77498122","2.5","136.8","gps"
"1525377901000","1525377900538","42.97210719","-78.77495992","2.5","136.8","gps"
"1525377902000","1525377901540","42.97207474","-78.77492","3.75","136.3","gps"
"1525377903000","1525377902540","42.97204541","-78.77488377","4.0","136.2","gps"
"1525377904000","1525377903540","42.97199773","-78.77482997","5.5","136.6","gps"
"1525377905000","1525377904540","42.97195955","-78.77477616","5.5","137.6","gps"
"1525377906000","1525377905539","42.9719254","-78.77473012","5.25","136.4","gps"
"1525377907000","1525377906541","42.9718892","-78.77468029","5.5","136.6","gps"
"1525377908000","1525377907542","42.97184717","-78.77462286","6.0","136.2","gps"
"1525377909000","1525377908546","42.97180453","-78.77457048","6.75","135.8","gps"
"1525377910000","1525377909542","42.97175912","-78.77451125","7.0","136.2","gps"
"1525377911000","1525377910544","42.97171318","-78.7744445","7.25","135.9","gps"
"1525377912000","1525377911539","42.97166695","-78.77438527","7.25","136.2","gps"
"1525377913000","1525377912541","42.97163046","-78.77432733","7.0","136.3","gps"
"1525377914000","1525377913541","42.97158358","-78.77427075","7.0","136.4","gps"
"1525377915000","1525377914543","42.97154226","-78.77420784","6.75","134.8","gps"
"1525377916000","1525377915539","42.97150123","-78.77415142","6.5","135.6","gps"
"1525377917000","1525377916542","42.97145549","-78.77409205","6.25","135.8","gps"
"1525377918000","1525377917539","42.97140853","-78.77404124","6.0","136.5","gps"
"1525377919000","1525377918540","42.97136792","-78.77398874","6.0","136.4","gps"
"1525377920000","1525377919539","42.971335","-78.77393861","6.0","133.3","gps"
"1525377921000","1525377920539","42.9712967","-78.77388331","6.0","133.3","gps"
"1525377922000","1525377921542","42.97125776","-78.77383089","6.25","136.7","gps"
"1525377923000","1525377922540","42.97121605","-78.77377468","7.0","136.4","gps"
"1525377924000","1525377923539","42.9711687","-78.77370525","7.75","136.8","gps"
"1525377925000","1525377924539","42.9711193","-78.77363901","8.25","136.5","gps"
"1525377926000","1525377925538","42.97106625","-78.77357041","8.25","136.5","gps"
"1525377927000","1525377926538","42.97101029","-78.77349579","9.5","136.2","gps"
"1525377928000","1525377927540","42.97093779","-78.77340911","10.25","136.1","gps"
"1525377929000","1525377928540","42.97086639","-78.77331541","11.0","135.8","gps"
"1525377930000","1525377929540","42.97078827","-78.77320862","11.75","134.8","gps"
"1525377931000","1525377930538","42.97071095","-78.77310704","12.0","136.1","gps"
"1525377932000","1525377931537","42.970632","-78.77300355","12.0","136.1","gps"
"1525377933000","1525377932539","42.97055412","-78.77291653","11.5","136.4","gps"
"1525377934000","1525377933538","42.97047618","-78.77281617","11.25","136.2","gps"
"1525377935000","1525377934540","42.97041311","-78.77272099","11.5","136.0","gps"
"1525377936000","1525377935538","42.97033861","-78.77262164","11.75","136.9","gps"
"1525377937000","1525377936538","42.97025624","-78.77251719","12.25","136.7","gps"
"1525377938000","1525377937539","42.9701793","-78.77240639","12.5","136.4","gps"
"1525377939000","1525377938539","42.97009327","-78.77229429","12.5","136.2","gps"
"1525377940000","1525377939541","42.97000876","-78.77218997","12.5","135.7","gps"
"1525377941000","1525377940539","42.96992969","-78.7720853","12.25","135.3","gps"
"1525377942000","1525377941539","42.96985782","-78.77199693","12.0","136.1","gps"
"1525377943000","1525377942540","42.96978012","-78.77189573","12.5","136.4","gps"
"1525377944000","1525377943540","42.96969002","-78.77178836","13.0","136.1","gps"
"1525377945000","1525377944541","42.96959937","-78.7716772","13.0","136.5","gps"
"1525377946000","1525377945541","42.96950953","-78.77156781","13.25","136.2","gps"
"1525377947000","1525377946543","42.96942369","-78.77145321","13.5","135.7","gps"
"1525377948000","1525377947541","42.96932925","-78.77134118","13.75","136.9","gps"
"1525377949000","1525377948539","42.96923991","-78.77123362","14.5","137.1","gps"
"1525377950000","1525377949541","42.96914056","-78.77110874","15.25","137.7","gps"
"1525377951000","1525377950538","42.96903259","-78.77097716","16.25","138.5","gps"
"1525377952000","1525377951539","42.96891859","-78.77084018","16.75","138.4","gps"
"1525377953000","1525377952545","42.96879746","-78.7706836","17.25","138.6","gps"
"1525377954000","1525377953541","42.96868168","-78.77054287","18.0","139.2","gps"
"1525377955000","1525377954540","42.96855496","-78.77040126","18.75","140.1","gps"
"1525377956000","1525377955540","42.96842365","-78.77025328","19.25","141.0","gps"
"1525377957000","1525377956539","42.96828979","-78.77010039","19.5","141.8","gps"
"1525377958000","1525377957540","42.96815356","-78.76995456","19.5","141.8","gps"
"1525377959000","1525377958542","42.96801733","-78.76980873","19.5","141.8","gps"
